Leeftijdsgroep,2021-06-15 00:00:00,2021-06-15 00:00:00,"Getest,",Date
0 - 3,2920 4.1,878 9.2,2042 2.0,2021-06-15
4 - 12,34561 3.0,9896 6.1,24665 1.8,2021-06-15
13 - 17,14904 6.1,4035 8.0,10869 5.4,2021-06-15
18 - 24,17072 9.4,2820 11.3,14252 9.0,2021-06-15
25 - 29,11516 5.6,1250 11.2,10266 4.9,2021-06-15
30 - 39,26298 4.6,2797 10.5,23501 3.9,2021-06-15
40 - 49,19451 5.8,3740 9.1,15711 5.0,2021-06-15
50 - 59,13417 7.2,2837 8.7,10580 6.8,2021-06-15
60 - 69,8336 3.9,1274 6.9,7062 3.4,2021-06-15
70 - 79,3016 2.5,564 4.1,2452 2.2,2021-06-15
80+,861 3.0,165 8.5,696 1.7,2021-06-15
0 - 3,62463 6.0,21005 10.8,41458 3.6,2021-06-15
4 - 12,528446 6.2,178847 10.2,349599 4.2,2021-06-15
13 - 17,207326 12.3,67988 15.5,139338 10.8,2021-06-15
18 - 24,419412 12.9,82985 14.7,336427 12.5,2021-06-15
25 - 29,276512 10.4,41125 13.5,235387 9.8,2021-06-15
30 - 39,565585 8.5,73779 14.6,491806 7.6,2021-06-15
40 - 49,444040 11.1,89117 15.3,354923 10.0,2021-06-15
50 - 59,402256 13.4,88769 15.9,313487 12.6,2021-06-15
60 - 69,262235 10.4,44895 15.8,217340 9.3,2021-06-15
70 - 79,110287 12.0,21505 17.5,88782 10.7,2021-06-15
80+,24161 10.1,5744 13.1,18417 9.1,2021-06-15
