Leeftijdsgroep,2021-10-26 00:00:00,2021-10-26 00:00:00,"Getest,",Date
0 - 3,2168 9.4,638 15.2,1530 7.0,2021-10-26
4 - 12,17292 20.5,6938 22.8,10354 19.0,2021-10-26
13 - 17,9286 17.0,2985 19.4,6301 15.8,2021-10-26
18 - 24,26065 10.4,5920 13.4,20145 9.5,2021-10-26
25 - 29,22610 10.5,4498 15.1,18112 9.4,2021-10-26
30 - 39,38964 11.0,7728 16.1,31236 9.7,2021-10-26
40 - 49,29459 13.0,7020 17.4,22439 11.6,2021-10-26
50 - 59,27355 12.5,5775 18.6,21580 10.9,2021-10-26
60 - 69,19574 13.2,3420 23.4,16154 11.0,2021-10-26
70 - 79,9337 18.5,1658 28.5,7679 16.3,2021-10-26
80+,3031 22.9,472 32.2,2559 21.2,2021-10-26
0 - 3,27797 8.6,8928 14.7,18869 5.7,2021-10-26
4 - 12,218656 12.9,85146 15.6,133510 11.3,2021-10-26
13 - 17,134319 12.1,29020 17.4,105299 10.6,2021-10-26
18 - 24,261131 11.2,43017 16.8,218114 10.2,2021-10-26
25 - 29,176306 10.6,27377 17.0,148929 9.4,2021-10-26
30 - 39,306414 10.5,47145 17.6,259269 9.2,2021-10-26
40 - 49,235920 10.9,45505 16.7,190415 9.5,2021-10-26
50 - 59,201719 10.1,35986 16.1,165733 8.8,2021-10-26
60 - 69,139776 9.5,18794 19.6,120982 7.9,2021-10-26
70 - 79,67657 10.5,8315 22.7,59342 8.8,2021-10-26
80+,22485 12.9,2868 23.2,19617 11.4,2021-10-26
