Leeftijdsgroep,2022-01-11 00:00:00,2022-01-11 00:00:00,"Getest,",Date
0 - 3,4968 24.1,1677 25.6,3291 23.2,2022-01-11
4 - 12,28503 38.0,9528 35.5,18975 39.3,2022-01-11
13 - 17,33112 40.2,14566 32.3,18546 46.3,2022-01-11
18 - 24,128549 38.7,68196 32.9,60353 45.3,2022-01-11
25 - 29,80122 35.4,38116 30.0,42006 40.4,2022-01-11
30 - 39,94878 34.4,35362 31.5,59516 36.2,2022-01-11
40 - 49,68495 35.8,24200 30.3,44295 38.9,2022-01-11
50 - 59,88276 30.0,38582 24.5,49694 34.3,2022-01-11
60 - 69,40390 24.0,14092 22.4,26298 24.9,2022-01-11
70 - 79,16151 20.7,4396 19.9,11755 21.0,2022-01-11
80+,5692 16.2,1364 15.5,4328 16.4,2022-01-11
0 - 3,106464 14.4,30163 19.5,76301 12.4,2022-01-11
4 - 12,837635 25.2,278810 24.9,558825 25.3,2022-01-11
13 - 17,419794 19.1,131435 19.0,288359 19.1,2022-01-11
18 - 24,722674 21.7,254690 22.9,467984 21.0,2022-01-11
25 - 29,543891 20.7,168876 22.8,375015 19.8,2022-01-11
30 - 39,1054166 20.2,285209 23.5,768957 18.9,2022-01-11
40 - 49,904158 21.0,262976 22.7,641182 20.2,2022-01-11
50 - 59,753824 21.5,215184 23.5,538640 20.7,2022-01-11
60 - 69,497486 21.9,117709 27.0,379777 20.4,2022-01-11
70 - 79,244710 24.5,50104 29.9,194606 23.1,2022-01-11
80+,84180 25.9,15083 29.3,69097 25.1,2022-01-11
